,Country,2015_pop_w_depression,2016_pop_w_depression
0,Afghanistan,4.3990098060000005,4.404727497
1,Albania,2.450237141,2.45088332
2,Algeria,3.9349572719999997,3.946200241
3,American Samoa,3.250801977,3.2521153710000004
4,Andean Latin America,2.899848998,2.903732774
5,Andorra,4.000088922,4.000259945
6,Angola,4.71683156,4.715467221
7,Antigua and Barbuda,3.122444634,3.12805378
8,Argentina,3.833964008,3.8399746830000003
9,Armenia,3.057041649,3.0685474960000003
10,Australasia,4.942380988,4.921627116
11,Australia,4.97432208,4.949713878
12,Austria,3.487288822,3.482647791
13,Azerbaijan,2.8483352710000003,2.8544460110000003
14,Bahamas,3.164211083,3.16907407
15,Bahrain,4.1688395389999995,4.159016171
16,Bangladesh,4.471408845,4.439594552
17,Barbados,3.316952624,3.324263981
18,Belarus,4.406787012,4.396416992
19,Belgium,4.467854419,4.469739501
20,Belize,3.399861323,3.398174757
21,Benin,4.165477143,4.16398222
22,Bermuda,3.384282213,3.378901017
23,Bhutan,3.719202529,3.720666011
24,Bolivia,3.459532075,3.455685993
25,Bosnia and Herzegovina,2.5718010280000003,2.564634453
26,Botswana,4.40818479,4.402208226
27,Brazil,3.75674741,3.7243926210000002
28,Brunei,2.9246701560000004,2.9346993219999997
29,Bulgaria,2.79373779,2.794418139
30,Burkina Faso,4.198289346,4.213617555
31,Burundi,4.280013692,4.278357098
32,Cambodia,3.386149503,3.381689465
33,Cameroon,4.3224516710000005,4.319252821
34,Canada,3.978904352,3.998306653
35,Cape Verde,4.632544444,4.627461601
36,Caribbean,3.682063115,3.676893628
37,Central African Republic,4.758903354,4.751552402
38,Central Asia,3.266457569,3.265770253
39,Central Europe,2.704212037,2.7016239630000003
40,Central Latin America,2.945682671,2.946300545
41,Central Sub-Saharan Africa,4.587457853,4.584226901
42,Chad,4.501233854,4.482221491000001
43,Chile,4.2159958369999995,4.219770154
44,China,3.711781756,3.680338878
45,Colombia,2.387174065,2.3782410030000003
46,Comoros,3.715936295,3.7234001589999997
47,Congo,4.562824287,4.545957745
48,Costa Rica,3.1314222419999997,3.13226306
49,Cote d'Ivoire,3.8173392919999998,3.834138282
50,Croatia,3.081128938,3.081515548
51,Cuba,3.939840725,3.932262552
52,Cyprus,3.563410344,3.568675882
53,Czech Republic,2.9794359860000004,2.972563862
54,Democratic Republic of Congo,4.534822155,4.532266771000001
55,Denmark,3.4323779830000003,3.432562985
56,Djibouti,4.11700803,4.1238057889999995
57,Dominica,3.204150836,3.218189011
58,Dominican Republic,3.437328475,3.4229070439999996
59,East Asia,3.69592398,3.665501261
60,Eastern Europe,4.178871297,4.179426648
61,Eastern Sub-Saharan Africa,4.370928836,4.365941299
62,Ecuador,3.266782042,3.275092991
63,Egypt,3.510428223,3.529188905
64,El Salvador,3.320549551,3.318673395
65,England,4.32416073,4.329267229
66,Equatorial Guinea,4.650746123999999,4.655266495
67,Eritrea,4.361737273,4.362334719
68,Estonia,4.262694318,4.23893904
69,Ethiopia,4.3767260619999995,4.367895455
70,Fiji,3.4189530919999997,3.416248312
71,Finland,5.2201727689999995,5.193026391
72,France,4.539564554,4.522544291
73,Gabon,4.597468429,4.5919069630000005
74,Gambia,4.7027380480000005,4.713219875
75,Georgia,3.068773769,3.068123222
76,Germany,4.190483672,4.1968814839999995
77,Ghana,3.9212607260000003,3.917623505
78,Greece,4.494493732,4.466287714
79,Greenland,6.452994022,6.414756945
80,Grenada,3.3174954519999997,3.3190611110000003
81,Guam,3.849237585,3.843595257
82,Guatemala,3.543634289,3.523788663
83,Guinea,4.067329684,4.067687746
84,Guinea-Bissau,4.186975531,4.192143236000001
85,Guyana,4.911884603,4.8928783319999996
86,Haiti,3.5917576,3.590152213
87,High SDI,4.3364677380000005,4.342122674
88,High-income Asia Pacific,3.6775293060000003,3.706918857
89,High-middle SDI,3.9004245139999996,3.89600871
90,Honduras,3.0319705160000003,3.032559955
91,Hungary,3.0522930010000002,3.052208443
92,Iceland,3.583622455,3.5829807369999997
93,India,3.85180156,3.853959979
94,Indonesia,2.9031773039999997,2.910983659
95,Iran,5.605229885,5.69492787
96,Iraq,4.09277233,4.133472283
97,Ireland,4.480199527,4.466725037
98,Israel,4.202888901000001,4.156169455
99,Italy,3.852923987,3.8475032330000003
100,Jamaica,3.108924117,3.1166901439999997
101,Japan,3.581177718,3.619521443
102,Jordan,3.891638369,3.8961645710000004
103,Kazakhstan,3.8052855930000002,3.8065927260000003
104,Kenya,4.011586027,3.9996055530000003
105,Kiribati,3.488826931,3.487292775
106,Kuwait,3.891101663,3.906396644
107,Kyrgyzstan,3.367275546,3.364046923
108,Laos,3.1066183260000004,3.117936783
109,Latin America and Caribbean,3.31446644,3.300885151
110,Latvia,3.86568124,3.868747351
111,Lebanon,4.026718563999999,4.008271393999999
112,Lesotho,5.975510797,5.981191194
113,Liberia,4.45473276,4.452348655
114,Libya,4.11159049,4.122704839
115,Lithuania,4.548278456,4.531693856
116,Low SDI,4.16778649,4.169348469
117,Low-middle SDI,3.989859315,3.9832097419999997
118,Luxembourg,3.8180495580000002,3.817306631
119,Macedonia,2.600153126,2.600233075
120,Madagascar,4.2280881269999995,4.228447592
121,Malawi,3.864399667,3.8836365839999996
122,Malaysia,3.730788806,3.7546299
123,Maldives,3.473510397,3.4630243210000002
124,Mali,3.4747917439999996,3.4881425860000004
125,Malta,3.582531875,3.592297762
126,Marshall Islands,3.40206698,3.3977059960000005
127,Mauritania,3.535945723,3.548541707
128,Mauritius,3.766787627,3.759575283
129,Mexico,3.04064426,3.0450188139999996
130,Micronesia (country),3.425950665,3.4203043589999997
131,Middle SDI,3.545852065,3.5336435330000002
132,Moldova,3.8039134960000003,3.803218251
133,Mongolia,3.87991741,3.8719721469999997
134,Montenegro,2.829260933,2.825333581
135,Morocco,5.9178248710000005,5.872499593
136,Mozambique,4.419368384,4.425622258
137,Myanmar,2.560995377,2.57208086
138,Namibia,3.958732823,3.9751322589999996
139,Nepal,4.0181749689999995,3.986549685
140,Netherlands,4.301735508999999,4.301588043
141,New Zealand,4.768079932,4.766833692
142,Nicaragua,3.1532145089999997,3.151607757
143,Niger,3.957694983,3.9619673019999997
144,Nigeria,4.445872727,4.400742752
145,North Africa and Middle East,4.273815871,4.288896032
146,North America,5.051462703,5.052127405
147,North Korea,3.384771512,3.382358755
148,Northern Ireland,4.471583709,4.442351304
149,Northern Mariana Islands,3.3731426110000005,3.3689742110000003
150,Norway,4.043902558,4.080699518
151,Oceania,3.460521424,3.457958871
152,Oman,3.69548006,3.7073627210000004
153,Pakistan,3.701783082,3.699707609
154,Palestine,5.046273845,5.007446865
155,Panama,2.96040399,2.9666289339999996
156,Papua New Guinea,3.480444133,3.477609475
157,Paraguay,3.3295571839999996,3.337949632
158,Peru,2.542249613,2.545435818
159,Philippines,2.990189307,2.9968818410000004
160,Poland,2.487605626,2.482461813
161,Portugal,5.039881347,5.015622274
162,Puerto Rico,3.4906228039999996,3.4939332000000003
163,Qatar,3.83569984,3.841265167
164,Romania,2.62737752,2.6330732980000002
165,Russia,4.055917676,4.063449065
166,Rwanda,4.47557605,4.473851398
167,Saint Lucia,3.365770579,3.37057442
168,Saint Vincent and the Grenadines,3.417984309,3.4238811439999997
169,Samoa,3.33659221,3.334725466
170,Sao Tome and Principe,3.613701919,3.616800425
171,Saudi Arabia,3.662318355,3.674352665
172,Scotland,4.461212893,4.45899263
173,Senegal,3.9205705280000003,3.93581816
174,Serbia,2.864575738,2.858274295
175,Seychelles,3.069647695,3.0747408710000004
176,Sierra Leone,4.171346508,4.175993402
177,Singapore,3.712254508,3.7079039380000003
178,Slovakia,2.652458941,2.647706513
179,Slovenia,3.215982476,3.201502029
180,Solomon Islands,3.431785257,3.4291382089999995
181,Somalia,4.311396203999999,4.309901483
182,South Africa,4.149282203,4.155648032
183,South Asia,3.902674899,3.9008376460000003
184,South Korea,3.9959748,4.003349716000001
185,South Sudan,4.25035847,4.252548063
186,Southeast Asia,3.0744300160000004,3.0801178489999996
187,Southern Latin America,3.9457622580000002,3.95139288
188,Southern Sub-Saharan Africa,4.100254445,4.106748637
189,Spain,3.780057909,3.7929702080000003
190,Sri Lanka,3.640348995,3.64197402
191,Sub-Saharan Africa,4.306905196000001,4.298248489
192,Sudan,4.099489584,4.102928688
193,Suriname,4.781406951,4.770260802
194,Swaziland,4.557520178,4.569536004
195,Sweden,4.974224532,4.9661645189999994
196,Switzerland,3.882478934,3.873036799
197,Syria,3.857681252,3.8747495030000003
198,Taiwan,3.2240168760000003,3.221727393
199,Tajikistan,2.835422692,2.846062617
200,Tanzania,4.170757964,4.176996556000001
201,Thailand,3.386640283,3.3828115380000003
202,Timor,3.4927189039999997,3.4935099839999997
203,Togo,4.186595668,4.19031343
204,Tonga,3.1997440139999997,3.2008972769999997
205,Trinidad and Tobago,3.9255989419999997,3.926058901
206,Tropical Latin America,3.745222357,3.713913689
207,Tunisia,4.210109088,4.2111876839999995
208,Turkey,3.9045126960000003,3.8881379289999995
209,Turkmenistan,3.134235419,3.134171695
210,Uganda,5.661926762,5.616770412
211,Ukraine,4.531604667,4.515833647
212,United Arab Emirates,3.124907317,3.1280790260000004
213,United Kingdom,4.3401244519999995,4.34329814
214,United States,5.172861146,5.171768074
215,United States Virgin Islands,3.483110946,3.488096352
216,Uruguay,3.84475305,3.85913126
217,Uzbekistan,3.18075881,3.176225115
218,Vanuatu,3.412319258,3.4092644880000003
219,Venezuela,3.086506925,3.0892278589999997
220,Vietnam,3.2215075580000003,3.223907347
221,Wales,4.338812553,4.3376746630000005
222,Western Europe,4.211067087,4.209268473
223,Western Sub-Saharan Africa,4.224019997,4.205222883
224,World,3.77788829,3.7748799930000003
225,Yemen,4.353879758,4.350972912
226,Zambia,4.136418962,4.163807103
227,Zimbabwe,3.581816445,3.5996299689999995
