City,Cloud,Fog,,Source:
"Atlanta, Georgia",149,159,,https://www.currentresults.com/Weather/US/cloud-fog-city-annual.php
"Austin, Texas",136,127,,
"Baltimore, Maryland",152,144,,
"Birmingham, Alabama",155,178,,
"Boston, Massachusetts",164,139,,
"Buffalo, New York",208,174,,
"Charlotte, North Carolina",152,168,,
"Chicago, Illinois",176,124,,
"Cincinnati, Ohio",186,166,,
"Cleveland, Ohio",202,157,,
"Columbus, Ohio",190,166,,
"Dallas, Texas",133,91,,
"Denver, Colorado",120,56,,
"Detroit, Michigan",185,156,,
"Hartford, Connecticut",175,162,,
"Houston, Texas",161,194,,
"Indianapolis, Indiana",179,175,,
"Jacksonville, Florida",144,198,,
"Kansas City, Missouri",149,123,,
"Las Vegas, Nevada",73,5,,
"Los Angeles, California",103,92,,
"Louisville, Kentucky",171,142,,
"Memphis, Tennessee",151,115,,
"Miami, Florida",115,43,,
"Milwaukee, Wisconsin",175,142,,
"Minneapolis, Minnesota",169,103,,
"Nashville, Tennessee",156,164,,
"New Orleans, Louisiana",146,200,,
"New York, New York",132,131,,
"Oklahoma City, Oklahoma",130,96,,
"Orlando, Florida",130,157,,
"Philadelphia, Pennsylvania",160,164,,
"Phoenix, Arizona",70,7,,
"Pittsburgh, Pennsylvania",203,183,,
"Portland, Oregon",222,125,,
"Providence, Rhode Island",164,166,,
"Raleigh, North Carolina",149,198,,
"Richmond, Virginia",160,185,,
"Rochester, New York",200,133,,
"Sacramento, California",100,104,,
"Salt Lake City, Utah",139,46,,
"San Antonio, Texas",141,130,,
"San Diego, California",102,97,,
"San Francisco, California",105,108,,
"Seattle, Washington",226,165,,
"St. Louis, Missouri",164,158,,
"Tampa, Florida",121,133,,
"Virginia Beach, Virginia",153,157,,
"Washington, DC",164,130,,
